Gender,Age range,Current role,Campus,Affiliation,Programming experience,Data analytics experience,"Experience using tools like Python, Colab, etc.",Experience using ChatGPT in general,Experience using ChatGPT for programming,Experience using ChatGPT for data analytics,Experience using generative APIs,Time required to finish activity 1,Time required to finish activity 2,Time required to finish activity 3,Ease of use,Speed of result,Appropriateness,Helpful,Correctness
Female,Over 50 years,Professional,CCM,Highschool Education,No,No,No,Yes,No,No,Yes,10 to 15 minutes,15 to 30 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,Over 50 years,Professional,MTY,Business,Some,Yes,Some,Yes,No,No,Some,15 to 30 minutes,10 to 15 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Female,40 to 50 years,Professional,MTY,Business,Yes,No,No,Yes,No,No,No,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,Over 50 years,Professional,TOL,Engineering and Sciences,Yes,Yes,Yes,Yes,Some,No,Some,5 to 10 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,35 to 40 years,Professional,MTY,Humanities and Education,Some,Yes,Some,Yes,No,Some,No,5 to 10 minutes,Less than 5 minutes,Less than 5 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,Over 50 years,Professional,CEM,Highschool Education,Some,No,No,Yes,No,No,Some,More than 30 minutes,10 to 15 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,26 to 30 years,Professional,MTY,Architecture,Yes,Yes,Yes,Yes,Yes,Yes,No,10 to 15 minutes,5 to 10 minutes,5 to 10 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,40 to 50 years,Professional,CCM,Business,Yes,Some,Some,Yes,Some,No,Some,10 to 15 minutes,10 to 15 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,40 to 50 years,Professional,PUE,Engineering and Sciences,Yes,Yes,Yes,Yes,Some,No,Some,5 to 10 minutes,5 to 10 minutes,5 to 10 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,ChatGPT as an external assistant
Female,Over 50 years,Professional,MTY,Engineering and Sciences,Yes,Yes,Some,Some,Some,No,No,5 to 10 minutes,Less than 5 minutes,10 to 15 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
